"Date","File","xmin","xmax","ymin","ymax"
2013-04-14,"2013-04-104-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-14,"2013-04-104-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-14,"2013-04-104-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-14,"2013-04-104-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-14,"2013-04-104-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-14,"2013-04-104-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-14,"2013-04-104-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-14,"2013-04-104-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-14,"2013-04-104-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-14,"2013-04-104-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
2013-04-14,"2013-04-104-0000018944-0000000000.tif",-96.67983498,-94.127182269,37.019932185,38.428041393
2013-04-14,"2013-04-104-0000018944-0000009472.tif",-94.127182269,-91.574529558,37.019932185,38.428041393
2013-04-14,"2013-04-104-0000018944-0000018944.tif",-91.574529558,-89.021876847,37.019932185,38.428041393
2013-04-14,"2013-04-104-0000018944-0000028416.tif",-89.021876846,-86.469224135,37.019932185,38.428041393
2013-04-14,"2013-04-104-0000018944-0000037888.tif",-86.469224135,-84.814257887,37.019932185,38.428041393
2013-04-20,"2013-04-110-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-20,"2013-04-110-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-20,"2013-04-110-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-20,"2013-04-110-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-20,"2013-04-110-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-20,"2013-04-110-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-20,"2013-04-110-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-20,"2013-04-110-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-20,"2013-04-110-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-20,"2013-04-110-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
2013-04-20,"2013-04-110-0000018944-0000000000.tif",-96.67983498,-94.127182269,37.019932185,38.428041393
2013-04-20,"2013-04-110-0000018944-0000009472.tif",-94.127182269,-91.574529558,37.019932185,38.428041393
2013-04-20,"2013-04-110-0000018944-0000018944.tif",-91.574529558,-89.021876847,37.019932185,38.428041393
2013-04-20,"2013-04-110-0000018944-0000028416.tif",-89.021876846,-86.469224135,37.019932185,38.428041393
2013-04-20,"2013-04-110-0000018944-0000037888.tif",-86.469224135,-84.814257887,37.019932185,38.428041393
2013-04-23,"2013-04-113-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-23,"2013-04-113-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-23,"2013-04-113-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-23,"2013-04-113-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-23,"2013-04-113-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-23,"2013-04-113-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-23,"2013-04-113-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-23,"2013-04-113-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-23,"2013-04-113-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-23,"2013-04-113-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
2013-04-23,"2013-04-113-0000018944-0000000000.tif",-96.67983498,-94.127182269,37.019932185,38.428041393
2013-04-23,"2013-04-113-0000018944-0000009472.tif",-94.127182269,-91.574529558,37.019932185,38.428041393
2013-04-23,"2013-04-113-0000018944-0000018944.tif",-91.574529558,-89.021876847,37.019932185,38.428041393
2013-04-23,"2013-04-113-0000018944-0000028416.tif",-89.021876846,-86.469224135,37.019932185,38.428041393
2013-04-23,"2013-04-113-0000018944-0000037888.tif",-86.469224135,-84.814257887,37.019932185,38.428041393
2013-04-26,"2013-04-116-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-26,"2013-04-116-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-26,"2013-04-116-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-26,"2013-04-116-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-26,"2013-04-116-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-26,"2013-04-116-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-26,"2013-04-116-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-26,"2013-04-116-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-26,"2013-04-116-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-26,"2013-04-116-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
2013-04-26,"2013-04-116-0000018944-0000000000.tif",-96.67983498,-94.127182269,37.019932185,38.428041393
2013-04-26,"2013-04-116-0000018944-0000009472.tif",-94.127182269,-91.574529558,37.019932185,38.428041393
2013-04-26,"2013-04-116-0000018944-0000018944.tif",-91.574529558,-89.021876847,37.019932185,38.428041393
2013-04-26,"2013-04-116-0000018944-0000028416.tif",-89.021876846,-86.469224135,37.019932185,38.428041393
2013-04-26,"2013-04-116-0000018944-0000037888.tif",-86.469224135,-84.814257887,37.019932185,38.428041393
2013-04-29,"2013-04-119-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-29,"2013-04-119-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-29,"2013-04-119-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-29,"2013-04-119-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-29,"2013-04-119-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-29,"2013-04-119-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-29,"2013-04-119-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-29,"2013-04-119-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-29,"2013-04-119-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-29,"2013-04-119-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
2013-04-29,"2013-04-119-0000018944-0000000000.tif",-96.67983498,-94.127182269,37.019932185,38.428041393
2013-04-29,"2013-04-119-0000018944-0000009472.tif",-94.127182269,-91.574529558,37.019932185,38.428041393
2013-04-29,"2013-04-119-0000018944-0000018944.tif",-91.574529558,-89.021876847,37.019932185,38.428041393
2013-04-29,"2013-04-119-0000018944-0000028416.tif",-89.021876846,-86.469224135,37.019932185,38.428041393
2013-04-29,"2013-04-119-0000018944-0000037888.tif",-86.469224135,-84.814257887,37.019932185,38.428041393
2013-04-08,"2013-04-98-0000000000-0000000000.tif",-96.67983498,-94.127182269,40.980694104,43.533346815
2013-04-08,"2013-04-98-0000000000-0000009472.tif",-94.127182269,-91.574529558,40.980694104,43.533346815
2013-04-08,"2013-04-98-0000000000-0000018944.tif",-91.574529558,-89.021876847,40.980694104,43.533346815
2013-04-08,"2013-04-98-0000000000-0000028416.tif",-89.021876846,-86.469224135,40.980694104,43.533346815
2013-04-08,"2013-04-98-0000000000-0000037888.tif",-86.469224135,-84.814257887,40.980694104,43.533346815
2013-04-08,"2013-04-98-0000009472-0000000000.tif",-96.67983498,-94.127182269,38.428041393,40.980694104
2013-04-08,"2013-04-98-0000009472-0000009472.tif",-94.127182269,-91.574529558,38.428041393,40.980694104
2013-04-08,"2013-04-98-0000009472-0000018944.tif",-91.574529558,-89.021876847,38.428041393,40.980694104
2013-04-08,"2013-04-98-0000009472-0000028416.tif",-89.021876846,-86.469224135,38.428041393,40.980694104
2013-04-08,"2013-04-98-0000009472-0000037888.tif",-86.469224135,-84.814257887,38.428041393,40.980694104
